species,year,orig_grid
species18,2006,SK53D
species18,2007,SK53G
species18,2011,SK53M
species18,2011,SK53
species18,2011,SK53
species18,1998,SK53R
species18,2000,SK53
species18,2001,SK53R
species18,2001,SK53R
species18,2004,SK53T
species18,2007,SK53T
species20,2010,SK53G
species20,2011,SK53G
species4,2001,SK5036
species4,1998,SK5036
species4,1998,SK5036
species4,1998,SK5036
species4,1998,SK5036
species4,1999,SK5036
species4,1999,SK5036
species4,1999,SK5036
species4,1999,SK5036
species4,2000,SK5036
species4,2000,SK5036
species4,2001,SK5036
species4,2001,SK5036
species4,2002,SK5036
species4,2002,SK5036
species4,2002,SK5036
species4,2003,SK5036
species4,2003,SK5036
species4,2003,SK5036
species4,2003,SK5036
species4,2004,SK5036
species4,2004,SK5036
species4,2000,SK535320
species4,2000,SK535320
species4,2000,SK535320
species4,2000,SK535320
species4,2000,SK535320
species4,2000,SK535320
species4,2001,SK535320
species4,1998,SK535354
species4,1999,SK535354
species4,1999,SK535354
species4,1999,SK535354
species4,1999,SK535354
species4,2000,SK535354
species4,2000,SK535354
species4,2001,SK535354
species4,2001,SK535354
species4,2001,SK535354
species4,2002,SK535354
species4,2002,SK535354
species4,2010,SK53A
species4,2010,SK53A
species4,1998,SK53F
species4,1999,SK53G
species4,1999,SK53G
species4,1999,SK53G
species4,2000,SK53G
species4,2000,SK53G
species4,2000,SK53G
species4,2001,SK53G
species4,2002,SK53G
species4,2006,SK53G
species4,2006,SK53G
species4,2007,SK53G
species4,2007,SK53G
species4,2007,SK53G
species4,2007,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2008,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2009,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2010,SK53G
species4,2011,SK53G
species4,2011,SK53G
species4,2011,SK53G
species4,2011,SK53G
species4,2011,SK53G
species4,2011,SK53G
species4,2011,SK53G
species4,2011,SK53G
species4,2011,SK53G
species4,2011,SK53G
species4,2011,SK53G
species4,2011,SK53G
species4,1998,SK53H
species4,1998,SK53H
species4,1998,SK53H
species4,1998,SK53H
species4,2001,SK53H
species4,2004,SK53H
species4,2004,SK53H
species4,2005,SK53H
species4,2005,SK53H
species4,2005,SK53H
species4,2005,SK53H
species4,2006,SK53H
species4,2006,SK53H
species4,2006,SK53H
species4,2006,SK53H
species4,2006,SK53H
species4,2005,SK53K
species4,2005,SK53K
species4,2005,SK53K
species4,2005,SK53K
species4,2005,SK53K
species4,2006,SK53K
species4,2006,SK53K
species4,2006,SK53K
species4,2007,SK53K
species4,2007,SK53K
species4,2007,SK53K
species4,2007,SK53K
species4,2008,SK53K
species4,2008,SK53K
species4,2008,SK53K
species4,2009,SK53K
species4,2010,SK53K
species4,1998,SK53L
species4,1999,SK53L
species4,2000,SK53L
species4,2000,SK53L
species4,2000,SK53L
species4,2000,SK53L
species4,2000,SK53L
species4,2007,SK53L
species4,2007,SK53L
species4,2007,SK53L
species4,2007,SK53L
species4,2007,SK53L
species4,2007,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2008,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2009,SK53L
species4,2010,SK53L
species4,2010,SK53L
species4,2010,SK53L
species4,2010,SK53L
species4,2010,SK53L
species4,2010,SK53L
species4,2010,SK53L
species4,2010,SK53L
species4,2008,SK53M
species4,2008,SK53M
species4,2009,SK53M
species4,2009,SK53M
species4,2009,SK53M
species4,2009,SK53M
species4,2009,SK53M
species4,2010,SK53M
species4,2010,SK53M
species4,2010,SK53M
species4,2010,SK53M
species4,2010,SK53M
species4,2010,SK53M
species4,2011,SK53M
species4,2011,SK53M
species4,2011,SK53M
species4,2002,SK53M
species4,2005,SK53M
species4,2005,SK53M
species4,2005,SK53M
species4,2005,SK53M
species4,2005,SK53M
species4,2005,SK53M
species4,2006,SK53M
species4,2006,SK53M
species4,2006,SK53M
species4,2006,SK53M
species4,2006,SK53M
species4,2006,SK53M
species4,2006,SK53M
species4,2006,SK53M
species4,2006,SK53M
species4,2006,SK53M
species4,2006,SK53M
species4,2007,SK53M
species4,2007,SK53M
species4,2008,SK53M
species4,1999,SK53R
species4,1999,SK53R
species4,2001,SK53R
species4,2001,SK53R
species4,2003,SK53R
species4,2007,SK53R
species4,1998,SK53R
species4,1998,SK53R
species4,1999,SK53R
species4,2000,SK53R
species4,2000,SK53R
species4,2001,SK53R
species4,2001,SK53R
species4,2002,SK53R
species4,2001,SK53V
species4,2001,SK53V
species4,2003,SK555315
species4,2004,SK555315
species4,2005,SK555315
species4,2005,SK555315
species4,2009,SK555315
species4,1998,SK5635
species10,2001,SK5036
species10,2001,SK5036
species10,2001,SK5036
species10,2002,SK5036
species10,2000,SK535320
species10,2000,SK535320
species10,2000,SK535354
species10,2004,SK535354
species10,2000,SK53A
species10,2000,SK53A
species10,2006,SK53D
species10,2000,SK53G
species10,2004,SK53G
species10,2005,SK53G
species10,2007,SK53G
species10,2007,SK53G
species10,2007,SK53G
species10,2008,SK53G
species10,2008,SK53G
species10,2008,SK53G
species10,2008,SK53G
species10,2008,SK53G
species10,2008,SK53G
species10,2009,SK53G
species10,2009,SK53G
species10,2009,SK53G
species10,2009,SK53G
species10,2009,SK53G
species10,2010,SK53G
species10,2010,SK53G
species10,2010,SK53G
species10,2011,SK53G
species10,2011,SK53G
species10,2007,SK53G
species10,1998,SK53H
species10,1998,SK53H
species10,1998,SK53H
species10,2002,SK53H
species10,2004,SK53H
species10,2005,SK53H
species10,2005,SK53H
species10,2005,SK53H
species10,2006,SK53H
species10,2006,SK53H
species10,2006,SK53H
species10,2006,SK53H
species10,2009,SK53H
species10,2009,SK53H
species10,2011,SK53H
species10,2004,SK53K
species10,2004,SK53K
species10,2005,SK53K
species10,2005,SK53K
species10,2005,SK53K
species10,2005,SK53K
species10,2005,SK53K
species10,2005,SK53K
species10,2006,SK53K
species10,2006,SK53K
species10,2006,SK53K
species10,2006,SK53K
species10,2006,SK53K
species10,2007,SK53K
species10,2007,SK53K
species10,2007,SK53K
species10,2007,SK53K
species10,2008,SK53K
species10,2008,SK53K
species10,2008,SK53K
